Path Cost Cserna,Probability Cserna,CDF Cserna
3.58549,0.00107969,0.926885
3.58949,0.00106791,0.927953
3.59349,0.00105619,0.929009
3.59749,0.00104453,0.930054
3.60149,0.00103294,0.931087
3.60549,0.00102141,0.932108
3.60949,0.00100995,0.933118
3.61349,0.000998549,0.934117
3.61749,0.000987216,0.935104
3.62149,0.000975951,0.93608
3.62549,0.000964752,0.937045
3.62949,0.000953622,0.937998
3.63349,0.00094256,0.938941
3.63749,0.000931567,0.939872
3.64149,0.000920644,0.940793
3.64549,0.000909791,0.941703
3.64949,0.000899009,0.942602
3.65349,0.000888298,0.94349
3.65749,0.000877658,0.944368
3.66149,0.000867091,0.945235
3.66549,0.000856596,0.946092
3.66949,0.000846175,0.946938
3.67349,0.000835826,0.947774
3.67749,0.000825552,0.948599
3.68149,0.000815352,0.949414
3.68549,0.000805226,0.95022
3.68949,0.000795175,0.951015
3.69349,0.000785199,0.9518
3.69749,0.000775298,0.952575
3.70149,0.000765473,0.953341
3.70549,0.000755725,0.954097
3.70949,0.000746052,0.954843
3.71349,0.000736456,0.955579
3.71749,0.000726936,0.956306
3.72149,0.000717494,0.957023
3.72549,0.000708128,0.957732
3.72949,0.00069884,0.95843
3.73349,0.000689629,0.95912
3.73749,0.000680495,0.959801
3.74149,0.00067144,0.960472
3.74549,0.000662461,0.961134
3.74949,0.000653561,0.961788
3.75349,0.000644739,0.962433
3.75749,0.000635994,0.963069
3.76149,0.000627328,0.963696
3.76549,0.000618739,0.964315
3.76949,0.000610228,0.964925
3.77349,0.000601796,0.965527
3.77749,0.000593441,0.96612
3.78149,0.000585165,0.966705
3.78549,0.000576966,0.967282
3.78949,0.000568846,0.967851
3.79349,0.000560803,0.968412
3.79749,0.000552838,0.968965
3.80149,0.00054495,0.96951
3.80549,0.00053714,0.970047
3.80949,0.000529407,0.970576
3.81349,0.000521752,0.971098
3.81749,0.000514174,0.971612
3.82149,0.000506672,0.972119
3.82549,0.000499248,0.972618
3.82949,0.0004919,0.97311
3.83349,0.000484628,0.973595
3.83749,0.000477433,0.974072
3.84149,0.000470314,0.974543
3.84549,0.00046327,0.975006
3.84949,0.000456302,0.975462
3.85349,0.00044941,0.975912
3.85749,0.000442592,0.976354
3.86149,0.000435849,0.97679
3.86549,0.000429181,0.977219
3.86949,0.000422586,0.977642
3.87349,0.000416066,0.978058
3.87749,0.000409619,0.978467
3.88149,0.000403246,0.978871
3.88549,0.000396946,0.979268
3.88949,0.000390718,0.979658
3.89349,0.000384562,0.980043
3.89749,0.000378479,0.980421
3.90149,0.000372467,0.980794
3.90549,0.000366526,0.98116
3.90949,0.000360656,0.981521
3.91349,0.000354856,0.981876
3.91749,0.000349127,0.982225
3.92149,0.000343467,0.982568
3.92549,0.000337877,0.982906
3.92949,0.000332356,0.983239
3.93349,0.000326903,0.983566
3.93749,0.000321518,0.983887
3.94149,0.0003162,0.984203
3.94549,0.00031095,0.984514
3.94949,0.000305767,0.98482
3.95349,0.00030065,0.985121
3.95749,0.000295599,0.985416
3.96149,0.000290613,0.985707
3.96549,0.000285693,0.985993
3.96949,0.000280836,0.986273
3.97349,0.000276044,0.986549
3.97749,0.000271316,0.986821
3.98149,0.00026665,0.987087
3.98549,0.000262047,0.987349
3.98949,0.000257507,0.987607
3.99349,0.000253028,0.98786
3.99749,0.00024861,0.988109
4.00149,0.000244253,0.988353
4.00549,0.000239956,0.988593
4.00949,0.000235719,0.988829
4.01349,0.000231541,0.98906
4.01749,0.000227421,0.989288
4.02149,0.00022336,0.989511
4.02549,0.000219357,0.98973
4.02949,0.00021541,0.989946
4.03349,0.000211521,0.990157
4.03749,0.000207687,0.990365
4.04149,0.000203909,0.990569
4.04549,0.000200186,0.990769
4.04949,0.000196518,0.990965
4.05349,0.000192904,0.991158
4.05749,0.000189344,0.991348
4.06149,0.000185836,0.991534
4.06549,0.000182382,0.991716
4.06949,0.000178979,0.991895
4.07349,0.000175627,0.992071
4.07749,0.000172327,0.992243
4.08149,0.000169077,0.992412
4.08549,0.000165877,0.992578
4.08949,0.000162726,0.992741
4.09349,0.000159625,0.9929
4.09749,0.000156571,0.993057
4.10149,0.000153566,0.99321
4.10549,0.000150607,0.993361
4.10949,0.000147696,0.993509
4.11349,0.000144831,0.993653
4.11749,0.000142012,0.993795
4.12149,0.000139238,0.993935
4.12549,0.000136508,0.994071
4.12949,0.000133823,0.994205
4.13349,0.000131182,0.994336
4.13749,0.000128584,0.994465
